Date,Revenue,Gross_Profit_rolling_7d_mean,Gross_Margin_rolling_7d_mean,Revenue_rolling_28d_mean,Revenue_lag_1d,Revenue_pct_change_7d,page_views_lag_14d,cos_month,Gross_Profit_rolling_28d_mean,year,is_month_start,Revenue_rolling_7d_mean,Gross_Margin_rolling_28d_mean,Gross_Margin_lag_7d,Gross_Margin_lag_1d,Gross_Profit_lag_1d,Revenue_diff_1d,is_month_end,day_of_month,Gross_Profit_lag_7d,Revenue_lag_28d,quarter
2012-07-04,5123547.94,,,,,,,-0.8660254037844388,,2012,0,,,,,,,0,4,,,3
2012-07-05,2751773.45,1140556.7500000005,0.2226107305633994,5123547.94,5123547.94,,,-0.8660254037844388,1140556.7500000005,2012,0,5123547.94,0.2226107305633994,,0.2226107305633994,1140556.7500000005,,0,5,,,3
2012-07-06,3054029.42,870874.9850000003,0.2205427772496072,3937660.695,2751773.45,,,-0.8660254037844388,870874.9850000003,2012,0,3937660.695,0.2205427772496072,,0.2184748239358149,601193.2200000002,-2371774.49,0,6,,,3
2012-07-07,2667930.94,759382.1833333336,0.2055737498623064,3643116.936666667,3054029.42,,,-0.8660254037844388,759382.1833333336,2012,0,3643116.936666667,0.2055737498623064,,0.1756356950877048,536396.5800000001,302255.96999999974,0,7,,,3
2012-07-08,2360851.9,709457.7175000001,0.2066258528348942,3399320.4375,2667930.94,,,-0.8660254037844388,709457.7175000001,2012,0,3399320.4375,0.2066258528348942,,0.2097821617526576,559684.3199999998,-386098.48,0,8,,,3
2012-07-09,3548386.46,678011.996,0.2120828722053697,3191626.73,2360851.9,,,-0.8660254037844388,678011.996,2012,0,3191626.73,0.2120828722053697,,0.2339109496872717,552229.1099999999,-307079.04000000004,0,9,,,3
2012-07-10,5234938.62,691767.4600000001,0.2124582910968694,3251086.685,3548386.46,,,-0.8660254037844388,691767.4600000001,2012,0,3251086.685,0.2124582910968694,,0.2143353855543682,760544.7799999998,1187534.56,0,10,,,3
2012-07-11,5582884.78,763014.9342857144,0.2145948604732153,3534494.104285714,5234938.62,0.0217409266595053,,-0.8660254037844388,763014.9342857144,2012,0,3534494.104285714,0.2145948604732153,0.2226107305633994,0.2274142767312905,1190499.7800000005,1686552.16,0,11,1140556.7500000005,,3
2012-07-12,5734632.02,777874.2142857143,0.214639938307201,3790542.93875,5582884.78,1.0288315449805652,,-0.8660254037844388,823209.53125,2012,0,3600113.652857143,0.2156362873392258,0.2184748239358149,0.2229262754012989,1244571.71,347946.16000000015,0,12,601193.2200000002,,3
2012-07-13,5309511.71,874249.5757142856,0.2152116035612419,4006552.836666667,5734632.02,0.8777265151558362,,-0.8660254037844388,873499.6666666666,2012,0,4026236.305714286,0.2163963088253231,0.1756356950877048,0.2224764807141017,1275820.75,151747.2399999993,0,13,536396.5800000001,,3
2012-07-14,3820831.41,964208.4828571428,0.2214959896375933,4136848.724,5309511.71,0.9901233687855504,,-0.8660254037844388,902760.593,2012,0,4348448.061428571,0.2167193177050073,0.2097821617526576,0.2196263976221648,1166108.9300000002,-425120.3099999996,0,14,559684.3199999998,,3
2012-07-15,3948841.28,990734.5142857144,0.2193956340248171,4108119.877272727,3820831.41,0.6184121545277789,,-0.8660254037844388,888452.0427272728,2012,0,4513148.128571428,0.2147520772284815,0.2339109496872717,0.1950796724632244,745366.54,-1488680.2999999998,0,15,552229.1099999999,,3
2012-07-16,3503801.49,1025324.5314285716,0.2147173002048588,4094846.660833333,3948841.28,0.1128554695251542,,-0.8660254037844388,880610.9750000001,2012,0,4740003.754285715,0.2136196218717383,0.2143353855543682,0.2011626129475631,794359.23,128009.86999999965,0,16,760544.7799999998,,3
2012-07-17,4476729.49,1030329.8342857144,0.2165354583585161,4049381.647692308,3503801.49,-0.3306890979363574,,-0.8660254037844388,874070.2769230771,2012,0,4733634.472857143,0.2146536888531407,0.2274142767312905,0.2270624926299692,795581.9000000004,-445039.7899999996,0,17,1190499.7800000005,,3
2012-07-18,5184141.46,1005068.1285714286,0.2163949106311812,4079906.493571428,4476729.49,-0.1981332829870796,,-0.8660254037844388,884041.5314285716,2012,0,4625318.882857143,0.2154948855521982,0.2229262754012989,0.2264304426399461,1013667.8400000004,972928.0,0,18,1244571.71,,3
2012-07-19,6421487.11,986147.7842857144,0.215194765723119,4153522.158,5184141.46,-0.0959940512451572,,-0.8660254037844388,899247.3826666668,2012,0,4568355.551428571,0.2154302439183759,0.2224764807141017,0.2145252610448635,1112129.2999999998,707411.9699999997,0,19,1275820.75,,3
2012-07-20,5171470.46,1005918.5628571428,0.2148741089536364,4295269.9675,6421487.11,0.2094308216527128,,-0.8660254037844388,931432.93375,2012,0,4666477.707142857,0.2157303463814602,0.2196263976221648,0.2202318833277234,1414216.2000000002,1237345.6500000004,0,20,1166108.9300000002,,3
2012-07-21,3442157.02,976114.5471428572,0.2099484414609564,4346811.172941176,5171470.46,0.3534934952809132,,-0.8660254037844388,932965.1623529412,2012,0,4646757.528571429,0.2139313098398098,0.1950796724632244,0.1851467251734046,957480.8200000004,-1250016.6500000004,0,21,745366.54,,3
2012-07-22,3117550.57,969073.8371428574,0.210968844233676,4296552.608888889,3442157.02,-0.1283121361616235,,-0.8660254037844388,919804.962777778,2012,0,4592661.187142857,0.2132808199527238,0.2011626129475631,0.202222491872262,696081.5699999998,-1729313.44,0,22,794359.23,,3
2012-07-23,4730517.69,939293.1171428572,0.2090790626003359,4234499.87,3117550.57,-0.1102376721690361,,-0.8660254037844388,902230.7115789476,2012,0,4473905.371428572,0.2119467842454322,0.2270624926299692,0.1879341415141824,585894.19,-324606.4500000002,0,23,795581.9000000004,,3
2012-07-24,4096496.12,974997.2785714286,0.2082150041007753,4259300.761,4730517.69,0.0566905372698764,,-0.8660254037844388,909394.7275,2012,0,4649150.542857142,0.2124001491898128,0.2264304426399461,0.221014083133045,1045511.0300000004,1612967.1200000006,0,24,1013667.8400000004,,3
2012-07-25,5246688.08,951336.94,0.2054416946537733,4251548.159047619,4096496.12,-0.2098024038101768,,-0.8660254037844388,906473.3342857144,2012,0,4594831.49,0.2121438219193899,0.2145252610448635,0.207017276510932,848045.4700000002,-634021.5700000003,0,25,1112129.2999999998,,3
2012-07-26,5851965.06,950556.8557142856,0.2049276718837319,4296781.791818182,5246688.08,-0.182948125547199,,-0.8660254037844388,915573.1240909091,2012,0,4603766.721428571,0.2120885164528074,0.2202318833277234,0.2109271016545736,1106668.71,1150191.96,0,26,1414216.2000000002,,3
2012-07-27,5156699.45,930353.587142857,0.2045371811641231,4364398.455652175,5851965.06,0.1315862877422294,,-0.8660254037844388,931104.4369565218,2012,0,4522406.428571428,0.2123237308805315,0.1851467251734046,0.2174984482904618,1272793.3199999994,605276.9799999995,0,27,957480.8200000004,,3
2012-07-28,4326956.84,960327.3628571428,0.2104255332608172,4397410.997083333,5156699.45,0.4981011673895109,,-0.8660254037844388,940945.8041666668,2012,0,4520296.284285714,0.212908791670937,0.202222491872262,0.2263651898502636,1167297.25,-695265.6099999994,0,28,696081.5699999998,,3
2012-07-29,4804199.65,992786.317142857,0.2120197337042557,4394592.8308,4326956.84,0.3879347721374733,,-0.8660254037844388,940239.742,2012,0,4646696.258571428,0.2129277158031527,0.1879341415141824,0.2133818949763317,923294.25,-829742.6100000003,0,29,585894.19,,3
2012-07-30,6586130.95,1049737.6814285717,0.2144485789725384,4410346.939230769,4804199.65,0.0155758766436406,,-0.8660254037844388,941944.1265384617,2012,0,4887646.127142857,0.2126203443642685,0.221014083133045,0.2049360583921611,984553.7400000002,477242.8100000005,0,30,1045511.0300000004,,3
2012-07-31,9151622.14,1099096.3042857144,0.2130472293833379,4490931.532222223,6586130.95,0.607747391202216,,-0.8660254037844388,958576.617777778,2012,0,5152733.735714287,0.2125679107214675,0.207017276510932,0.2112046360086418,1391021.3900000006,1781931.2999999998,1,31,848045.4700000002,,3
2012-08-01,9148357.3,1264908.5171428572,0.214829693537518,4657384.768214286,9151622.14,0.7442664782923403,,-0.5000000000000004,996082.13,2012,1,5874894.595714286,0.2128152898239219,0.2109271016545736,0.2194945255901923,2008730.960000001,2565491.1900000004,0,1,1106668.71,5123547.94,3
2012-08-02,9692427.0,1369647.6971428576,0.2134275133077021,4801127.959642857,9148357.3,0.5632966373179271,,-0.5000000000000004,1021056.637857143,2012,0,6432275.912857143,0.2120474723054385,0.2174984482904618,0.2011118400458627,1839842.970000001,-3264.839999999851,0,2,1272793.3199999994,2751773.45,3
