order_id,order_date,product_id,product_name,category,quantity,unit_price,price,cogs,margin_rate,price_to_cogs,business_validity
605374,2018-06-21,347,LotusWear UE-68,Streetwear,2,43056.0,40950.0,38902.5,0.09646739130434782,1.106766917293233,likely_valid_high_cogs
600551,2018-06-09,347,LotusWear UE-68,Streetwear,1,42937.31,40950.0,38902.5,0.09396978990998732,1.1037159565580617,likely_valid_high_cogs
598739,2018-06-04,347,LotusWear UE-68,Streetwear,4,42268.78,40950.0,38902.5,0.07963986658711227,1.0865311997943576,likely_valid_high_cogs
605128,2018-06-22,347,LotusWear UE-68,Streetwear,6,41672.48,40950.0,38902.5,0.06647024607126821,1.0712031360452414,likely_valid_high_cogs
645732,2019-01-12,347,LotusWear UE-68,Streetwear,8,41446.3,40950.0,38902.5,0.06137580435406786,1.0653891138101665,likely_valid_high_cogs
560153,2018-02-08,347,LotusWear UE-68,Streetwear,4,41319.56,40950.0,38902.5,0.05849675069144003,1.0621312254996464,likely_valid_high_cogs
619091,2018-08-02,347,LotusWear UE-68,Streetwear,5,41103.28,40950.0,38902.5,0.05354268564455194,1.0565716856243172,likely_valid_high_cogs
563097,2018-02-24,347,LotusWear UE-68,Streetwear,6,41077.2,40950.0,38902.5,0.05294177792059822,1.0559012916907653,likely_valid_high_cogs
617591,2018-07-25,347,LotusWear UE-68,Streetwear,1,41050.55,40950.0,38902.5,0.052326948116407764,1.0552162457425616,likely_valid_high_cogs
691671,2019-10-31,347,LotusWear UE-68,Streetwear,2,40825.75,40950.0,38902.5,0.04710874876762827,1.0494376968061179,likely_valid_high_cogs
561096,2018-02-12,347,LotusWear UE-68,Streetwear,5,40546.16,40950.0,38902.5,0.04053799422682699,1.0422507550928604,likely_valid_high_cogs
605348,2018-06-23,347,LotusWear UE-68,Streetwear,4,40524.85,40950.0,38902.5,0.040033460950503176,1.0417029753871858,likely_valid_high_cogs
605053,2018-06-19,347,LotusWear UE-68,Streetwear,2,39988.2,40950.0,38902.5,0.02715050940027301,1.0279082321187583,likely_valid_high_cogs
702612,2020-02-26,347,LotusWear UE-68,Streetwear,6,39937.86,40950.0,38902.5,0.025924273358662698,1.0266142278773858,likely_valid_high_cogs
687017,2019-09-14,347,LotusWear UE-68,Streetwear,3,39023.33,40950.0,38902.5,0.0030963528740371913,1.0031059700533385,likely_valid_high_cogs
631538,2018-09-24,347,LotusWear UE-68,Streetwear,8,37765.51,40950.0,38902.5,-0.030106570783765343,0.970773343615449,likely_valid_high_cogs
629691,2018-09-14,347,LotusWear UE-68,Streetwear,8,37382.53,40950.0,38902.5,-0.0406599018311495,0.9609287320866268,likely_valid_high_cogs
707934,2020-03-30,347,LotusWear UE-68,Streetwear,2,37076.17,40950.0,38902.5,-0.049258863577332876,0.9530536597905018,likely_valid_high_cogs
628621,2018-09-05,347,LotusWear UE-68,Streetwear,1,36580.84,40950.0,38902.5,-0.06346655790298976,0.9403210590579011,possible_error_below_cogs
