order_id,order_date,product_id,product_name,category,quantity,unit_price,price,cogs,unit_margin,unit_margin_rate,unit_price_to_cogs_ratio,business_validity,check_reason
605374,2018-06-21,347,LotusWear UE-68,Streetwear,2,43056.0,40950.0,38902.5,4153.5,0.09646739130434782,1.106766917293233,likely_valid_premium_product_high_cogs,"Giá cao đi cùng COGS cao, có thể là sản phẩm premium hợp lệ"
600551,2018-06-09,347,LotusWear UE-68,Streetwear,1,42937.31,40950.0,38902.5,4034.8099999999977,0.09396978990998732,1.1037159565580617,likely_valid_premium_product_high_cogs,"Giá cao đi cùng COGS cao, có thể là sản phẩm premium hợp lệ"
598739,2018-06-04,347,LotusWear UE-68,Streetwear,4,42268.78,40950.0,38902.5,3366.279999999999,0.07963986658711227,1.0865311997943576,likely_valid_premium_product_high_cogs,"Giá cao đi cùng COGS cao, có thể là sản phẩm premium hợp lệ"
605128,2018-06-22,347,LotusWear UE-68,Streetwear,6,41672.48,40950.0,38902.5,2769.980000000003,0.06647024607126821,1.0712031360452414,likely_valid_premium_product_high_cogs,"Giá cao đi cùng COGS cao, có thể là sản phẩm premium hợp lệ"
645732,2019-01-12,347,LotusWear UE-68,Streetwear,8,41446.3,40950.0,38902.5,2543.800000000003,0.06137580435406786,1.0653891138101665,likely_valid_premium_product_high_cogs,"Giá cao đi cùng COGS cao, có thể là sản phẩm premium hợp lệ"
560153,2018-02-08,347,LotusWear UE-68,Streetwear,4,41319.56,40950.0,38902.5,2417.0599999999977,0.05849675069144003,1.0621312254996464,likely_valid_premium_product_high_cogs,"Giá cao đi cùng COGS cao, có thể là sản phẩm premium hợp lệ"
619091,2018-08-02,347,LotusWear UE-68,Streetwear,5,41103.28,40950.0,38902.5,2200.779999999999,0.05354268564455194,1.0565716856243172,likely_valid_premium_product_high_cogs,"Giá cao đi cùng COGS cao, có thể là sản phẩm premium hợp lệ"
563097,2018-02-24,347,LotusWear UE-68,Streetwear,6,41077.2,40950.0,38902.5,2174.699999999997,0.05294177792059822,1.0559012916907653,likely_valid_premium_product_high_cogs,"Giá cao đi cùng COGS cao, có thể là sản phẩm premium hợp lệ"
617591,2018-07-25,347,LotusWear UE-68,Streetwear,1,41050.55,40950.0,38902.5,2148.050000000003,0.052326948116407764,1.0552162457425616,likely_valid_premium_product_high_cogs,"Giá cao đi cùng COGS cao, có thể là sản phẩm premium hợp lệ"
691671,2019-10-31,347,LotusWear UE-68,Streetwear,2,40825.75,40950.0,38902.5,1923.25,0.04710874876762827,1.0494376968061179,likely_valid_premium_product_high_cogs,"Giá cao đi cùng COGS cao, có thể là sản phẩm premium hợp lệ"
