feature_name,target,pearson_corr,spearman_corr,abs_pearson,abs_spearman
COGS_lag_1d,COGS,0.8565068867010334,0.8523300918062837,0.8565068867010334,0.8523300918062837
daily_estimated_cogs_lag_1d,COGS,0.8565068867010026,0.8523300918062837,0.8565068867010026,0.8523300918062837
Revenue_lag_1d,COGS,0.8413241790424892,0.8324543173496156,0.8413241790424892,0.8324543173496156
daily_gross_item_revenue_lag_1d,COGS,0.8413241790424892,0.8324543173496156,0.8413241790424892,0.8324543173496156
daily_customer_count_lag_1d,COGS,0.8410043039928813,0.8376591115270563,0.8410043039928813,0.8376591115270563
daily_order_count_lag_1d,COGS,0.8399686339990403,0.8367448575478955,0.8399686339990403,0.8367448575478955
order_status_delivered_count_lag_1d,COGS,0.8373023704543346,0.8319239306019339,0.8373023704543346,0.8319239306019339
daily_distinct_products_lag_1d,COGS,0.8231335963658934,0.8320156100622117,0.8231335963658934,0.8320156100622117
daily_total_quantity_lag_1d,COGS,0.8192265367682052,0.818055861977635,0.8192265367682052,0.818055861977635
order_status_cancelled_count_lag_1d,COGS,0.7911199551275037,0.7720872959120408,0.7911199551275037,0.7720872959120408
order_status_returned_count_lag_1d,COGS,0.7542321652745962,0.7278000482639906,0.7542321652745962,0.7278000482639906
COGS_rolling_7d_mean,COGS,0.6681219991141113,0.7107547093635761,0.6681219991141113,0.7107547093635761
daily_estimated_cogs_rolling_7d_mean,COGS,0.6681219991111425,0.7107547093635761,0.6681219991111425,0.7107547093635761
daily_distinct_products_rolling_7d_mean,COGS,0.6674511101081123,0.6904827494969162,0.6674511101081123,0.6904827494969162
Revenue_rolling_7d_mean,COGS,0.6649270166330156,0.6944126039822761,0.6649270166330156,0.6944126039822761
daily_gross_item_revenue_rolling_7d_mean,COGS,0.6649270166330156,0.6944126039822761,0.6649270166330156,0.6944126039822761
daily_customer_count_rolling_7d_mean,COGS,0.6442276187719714,0.6826184097548538,0.6442276187719714,0.6826184097548538
daily_order_count_rolling_7d_mean,COGS,0.6428910433775072,0.681487003230471,0.6428910433775072,0.681487003230471
daily_estimated_cogs_rolling_28d_mean,COGS,0.6425688814546683,0.6956493260000518,0.6425688814546683,0.6956493260000518
COGS_rolling_28d_mean,COGS,0.6425688814517375,0.6956493260000518,0.6425688814517375,0.6956493260000518
order_status_delivered_count_rolling_7d_mean,COGS,0.6413978863589911,0.6788110260034381,0.6413978863589911,0.6788110260034381
order_status_paid_count_lag_1d,COGS,0.6412013874492642,0.5923952089905272,0.6412013874492642,0.5923952089905272
order_status_cancelled_count_rolling_7d_mean,COGS,0.6388844303365779,0.6729451228848261,0.6388844303365779,0.6729451228848261
Revenue_rolling_28d_mean,COGS,0.6370293412650494,0.6911107434526685,0.6370293412650494,0.6911107434526685
daily_gross_item_revenue_rolling_28d_mean,COGS,0.6370293412650494,0.6911107434526685,0.6370293412650494,0.6911107434526685
order_status_shipped_count_lag_1d,COGS,0.6345783701165735,0.5730450579488672,0.6345783701165735,0.5730450579488672
order_status_returned_count_rolling_7d_mean,COGS,0.630892047358018,0.6653768506567949,0.630892047358018,0.6653768506567949
daily_total_quantity_rolling_7d_mean,COGS,0.6200900453645409,0.6630621393206804,0.6200900453645409,0.6630621393206804
daily_distinct_products_rolling_28d_mean,COGS,0.6180763754815535,0.6616362045917996,0.6180763754815535,0.6616362045917996
order_status_cancelled_count_rolling_28d_mean,COGS,0.6136288569601132,0.6547681315251384,0.6136288569601132,0.6547681315251384
daily_customer_count_rolling_28d_mean,COGS,0.612935645411163,0.6528718510263668,0.612935645411163,0.6528718510263668
daily_order_count_rolling_28d_mean,COGS,0.6119920343053762,0.651815499758206,0.6119920343053762,0.651815499758206
order_status_delivered_count_rolling_28d_mean,COGS,0.6104260238824292,0.6492722921589242,0.6104260238824292,0.6492722921589242
order_status_returned_count_rolling_28d_mean,COGS,0.6036756878686065,0.6435267229038447,0.6036756878686065,0.6435267229038447
order_status_paid_count_rolling_7d_mean,COGS,0.5976824909505741,0.6287634906757272,0.5976824909505741,0.6287634906757272
order_status_shipped_count_rolling_28d_mean,COGS,0.5956638529470374,0.6426280429339529,0.5956638529470374,0.6426280429339529
daily_total_quantity_rolling_28d_mean,COGS,0.5938593826739493,0.634802934792641,0.5938593826739493,0.634802934792641
order_status_shipped_count_rolling_7d_mean,COGS,0.5918191570692528,0.6115087272992239,0.5918191570692528,0.6115087272992239
order_status_paid_count_rolling_28d_mean,COGS,0.5899489239076972,0.6450800167502142,0.5899489239076972,0.6450800167502142
daily_refund_amount_rolling_28d_mean,COGS,0.5772448591272593,0.6172514861881044,0.5772448591272593,0.6172514861881044
daily_refund_amount_rolling_7d_mean,COGS,0.5655849509745309,0.6138457474395137,0.5655849509745309,0.6138457474395137
daily_return_count_rolling_7d_mean,COGS,0.5484716898128381,0.6016163220927957,0.5484716898128381,0.6016163220927957
daily_return_count_rolling_28d_mean,COGS,0.5433741738764656,0.5791623103580129,0.5433741738764656,0.5791623103580129
daily_return_quantity_rolling_28d_mean,COGS,0.5413688380334233,0.577161182903415,0.5413688380334233,0.577161182903415
daily_return_quantity_rolling_7d_mean,COGS,0.5383258669172453,0.5914601638429686,0.5383258669172453,0.5914601638429686
order_status_created_count_rolling_28d_mean,COGS,0.5217673948994778,0.5763796967303808,0.5217673948994778,0.5763796967303808
order_status_created_count_lag_1d,COGS,0.5008702686510684,0.44339720894073825,0.5008702686510684,0.44339720894073825
order_status_created_count_rolling_7d_mean,COGS,0.5005139888451349,0.5127930129545991,0.5005139888451349,0.5127930129545991
daily_distinct_products_lag_7d,COGS,0.4933723794409891,0.552125212268492,0.4933723794409891,0.552125212268492
daily_return_count_lag_7d,COGS,0.4840168185382784,0.5224725898297413,0.4840168185382784,0.5224725898297413
Revenue_lag_7d,COGS,0.46733978868743653,0.5601053517624643,0.46733978868743653,0.5601053517624643
daily_gross_item_revenue_lag_7d,COGS,0.4673397886874365,0.5601053517624643,0.4673397886874365,0.5601053517624643
daily_return_quantity_lag_7d,COGS,0.4578196757424179,0.49648958135044613,0.4578196757424179,0.49648958135044613
daily_units_sold_sum_rolling_28d_mean,COGS,0.45325435681471543,0.5495717749151634,0.45325435681471543,0.5495717749151634
daily_units_received_sum_rolling_28d_mean,COGS,0.4523032704462699,0.5501908259972181,0.4523032704462699,0.5501908259972181
COGS_lag_7d,COGS,0.44946986003480194,0.5641973001457266,0.44946986003480194,0.5641973001457266
daily_estimated_cogs_lag_7d,COGS,0.4494698600321339,0.5641973001457266,0.4494698600321339,0.5641973001457266
daily_return_count_lag_1d,COGS,0.4439676426889432,0.5084817836085694,0.4439676426889432,0.5084817836085694
daily_refund_amount_lag_7d,COGS,0.43905544401509694,0.4726189500557101,0.43905544401509694,0.4726189500557101
daily_customer_count_lag_7d,COGS,0.4321726250248709,0.5587708560998057,0.4321726250248709,0.5587708560998057
daily_order_count_lag_7d,COGS,0.43046498430107477,0.557958218970233,0.43046498430107477,0.557958218970233
order_status_delivered_count_lag_7d,COGS,0.42959958337419446,0.5564339240741938,0.42959958337419446,0.5564339240741938
daily_return_quantity_lag_1d,COGS,0.4213420002026739,0.4855779451006447,0.4213420002026739,0.4855779451006447
order_status_cancelled_count_lag_7d,COGS,0.41311714123383514,0.5035430165668516,0.41311714123383514,0.5035430165668516
daily_total_quantity_lag_7d,COGS,0.4065179936564202,0.5405477450026956,0.4065179936564202,0.5405477450026956
daily_refund_amount_lag_1d,COGS,0.4017023118052555,0.454789378031993,0.4017023118052555,0.454789378031993
order_status_returned_count_lag_7d,COGS,0.396283591802574,0.4787010887978198,0.396283591802574,0.4787010887978198
daily_days_of_supply_mean_rolling_28d_mean,COGS,-0.36625487315816,-0.44976364269586583,0.36625487315816,0.44976364269586583
daily_stock_on_hand_sum_rolling_28d_mean,COGS,-0.32831625268099984,-0.3274467547979381,0.32831625268099984,0.3274467547979381
order_status_paid_count_lag_7d,COGS,0.31756279466870874,0.36300344473251617,0.31756279466870874,0.36300344473251617
sessions_sum_rolling_7d_mean,COGS,0.3018638092146501,0.3715882598429448,0.3018638092146501,0.3715882598429448
sessions_sum_lag_1d,COGS,0.3013793260513447,0.371496551477597,0.3013793260513447,0.371496551477597
page_views_sum_rolling_7d_mean,COGS,0.30033841794348326,0.36805124663265015,0.30033841794348326,0.36805124663265015
unique_visitors_sum_rolling_7d_mean,COGS,0.29963110776946295,0.3711889217124616,0.29963110776946295,0.3711889217124616
order_status_shipped_count_lag_7d,COGS,0.2991278568283915,0.3450385215949884,0.2991278568283915,0.3450385215949884
unique_visitors_sum_lag_1d,COGS,0.298430434419383,0.3701130814677979,0.298430434419383,0.3701130814677979
sessions_sum_lag_7d,COGS,0.2920913993963985,0.3615879812151216,0.2920913993963985,0.3615879812151216
page_views_sum_lag_1d,COGS,0.2909926412724716,0.35595459350096315,0.2909926412724716,0.35595459350096315
unique_visitors_sum_lag_7d,COGS,0.29015550264258155,0.360275985596692,0.29015550264258155,0.360275985596692
daily_discount_amount_lag_1d,COGS,0.28679420287270757,0.11518745004489364,0.28679420287270757,0.11518745004489364
sessions_sum_rolling_28d_mean,COGS,0.2843058588815587,0.3442191973164062,0.2843058588815587,0.3442191973164062
page_views_sum_rolling_28d_mean,COGS,0.2842710955129267,0.3429069839951466,0.2842710955129267,0.3429069839951466
unique_visitors_sum_rolling_28d_mean,COGS,0.28395982544298404,0.3447639737202699,0.28395982544298404,0.3447639737202699
page_views_sum_lag_7d,COGS,0.274733939855964,0.34201753912885247,0.274733939855964,0.34201753912885247
daily_units_sold_sum_rolling_7d_mean,COGS,0.27049642130793217,0.25151355888569354,0.27049642130793217,0.25151355888569354
year,COGS,-0.2696706621106889,-0.32807244048450324,0.2696706621106889,0.32807244048450324
daily_units_received_sum_rolling_7d_mean,COGS,0.2695025154285281,0.2515568375517101,0.2695025154285281,0.2515568375517101
daily_units_received_sum_lag_1d,COGS,0.23497151199677757,0.10801655369370548,0.23497151199677757,0.10801655369370548
daily_units_sold_sum_lag_1d,COGS,0.2347056454472582,0.10801094606895473,0.2347056454472582,0.10801094606895473
daily_inventory_product_count_rolling_28d_mean,COGS,-0.22972012344662499,0.20217170130844894,0.22972012344662499,0.20217170130844894
daily_days_of_supply_mean_rolling_7d_mean,COGS,-0.2196208149548717,-0.22238172690620905,0.2196208149548717,0.22238172690620905
order_status_created_count_lag_7d,COGS,0.21038198064535138,0.23911781303465818,0.21038198064535138,0.23911781303465818
daily_fill_rate_mean_rolling_28d_mean,COGS,-0.18062677852677173,-0.3068580602221829,0.18062677852677173,0.3068580602221829
daily_stockout_days_sum_lag_1d,COGS,0.17726147174685494,0.11139609777718268,0.17726147174685494,0.11139609777718268
quarter,COGS,-0.17452289075606156,-0.19745758207291095,0.17452289075606156,0.19745758207291095
daily_inventory_product_count_lag_1d,COGS,0.1677064028055625,0.11153821889408214,0.1677064028055625,0.11153821889408214
month,COGS,-0.16032260538731266,-0.18222581731740653,0.16032260538731266,0.18222581731740653
daily_discount_amount_rolling_7d_mean,COGS,0.15086023367772633,0.05818927751245425,0.15086023367772633,0.05818927751245425
daily_stock_on_hand_sum_lag_1d,COGS,0.13734520663079602,0.1085862905367839,0.13734520663079602,0.1085862905367839
daily_discount_amount_rolling_28d_mean,COGS,0.13608637893474454,0.06236536243924836,0.13608637893474454,0.06236536243924836
daily_stockout_days_sum_rolling_28d_mean,COGS,-0.13485368942658682,0.21871893185982763,0.13485368942658682,0.21871893185982763
daily_fill_rate_mean_lag_1d,COGS,-0.1175817634244812,-0.06284136235333167,0.1175817634244812,0.06284136235333167
daily_days_of_supply_mean_lag_1d,COGS,-0.11487542426009359,-0.08844085006928487,0.11487542426009359,0.08844085006928487
daily_stock_on_hand_sum_rolling_7d_mean,COGS,-0.11317892974025616,-0.19204598801327477,0.11317892974025616,0.19204598801327477
avg_bounce_rate_rolling_28d_mean,COGS,-0.10392635764773724,-0.1192136514177839,0.10392635764773724,0.1192136514177839
daily_fill_rate_mean_rolling_7d_mean,COGS,-0.1035841910050306,-0.14414786885888153,0.1035841910050306,0.14414786885888153
daily_stock_on_hand_sum_lag_7d,COGS,-0.0948715393123596,-0.1012856995295781,0.0948715393123596,0.1012856995295781
daily_inventory_product_count_lag_7d,COGS,-0.08969402194982683,-0.09916658697962993,0.08969402194982683,0.09916658697962993
daily_stockout_days_sum_lag_7d,COGS,-0.08484019176105993,-0.0991336965892439,0.08484019176105993,0.0991336965892439
daily_inventory_product_count_rolling_7d_mean,COGS,-0.07508056746448484,-0.14473575278081202,0.07508056746448484,0.14473575278081202
is_weekend,COGS,-0.07219345105183428,-0.06435369709517579,0.07219345105183428,0.06435369709517579
day_of_week,COGS,-0.06683701002822975,-0.07650253670673587,0.06683701002822975,0.07650253670673587
daily_days_of_supply_mean_lag_7d,COGS,-0.06347081685538486,-0.08047302071342632,0.06347081685538486,0.08047302071342632
daily_stockout_days_sum_rolling_7d_mean,COGS,-0.05737749723207337,-0.14448743874516412,0.05737749723207337,0.14448743874516412
order_source_count_rolling_7d_mean,COGS,0.0560461917113828,0.237375029031212,0.0560461917113828,0.237375029031212
order_source_count_lag_1d,COGS,0.053892696295090046,0.1101665653856168,0.053892696295090046,0.1101665653856168
avg_session_duration_sec_mean_rolling_28d_mean,COGS,-0.05328715846870881,-0.08223619071804679,0.05328715846870881,0.08223619071804679
traffic_source_count_lag_7d,COGS,0.04983744449277626,0.030658588940388306,0.04983744449277626,0.030658588940388306
daily_discount_amount_lag_7d,COGS,0.04960190374771653,0.013572289115853186,0.04960190374771653,0.013572289115853186
traffic_source_count_lag_1d,COGS,0.04471292137504338,0.023397797947289845,0.04471292137504338,0.023397797947289845
traffic_source_count_rolling_7d_mean,COGS,0.04471292137504338,0.023397797947289845,0.04471292137504338,0.023397797947289845
traffic_source_count_rolling_28d_mean,COGS,0.04471292137504338,0.023397797947289845,0.04471292137504338,0.023397797947289845
daily_units_sold_sum_lag_7d,COGS,0.043266037889480406,0.0828090551498753,0.043266037889480406,0.0828090551498753
daily_units_received_sum_lag_7d,COGS,0.042650601233703525,0.08280964882518958,0.042650601233703525,0.08280964882518958
order_source_count_rolling_28d_mean,COGS,0.03972324646781259,0.30239966869211554,0.03972324646781259,0.30239966869211554
order_source_count_lag_7d,COGS,0.03606427128327037,0.07990048761309425,0.03606427128327037,0.07990048761309425
avg_session_duration_sec_mean_rolling_7d_mean,COGS,-0.021440095708018542,-0.03699651923484108,0.021440095708018542,0.03699651923484108
avg_bounce_rate_lag_1d,COGS,-0.02109310611578078,-0.017210128397242473,0.02109310611578078,0.017210128397242473
avg_bounce_rate_lag_7d,COGS,-0.019491464616025883,-0.023587836371868606,0.019491464616025883,0.023587836371868606
avg_session_duration_sec_mean_lag_1d,COGS,-0.01892753541369614,-0.013957266703103245,0.01892753541369614,0.013957266703103245
avg_bounce_rate_rolling_7d_mean,COGS,-0.018287264829740572,-0.03706546152709439,0.018287264829740572,0.03706546152709439
daily_fill_rate_mean_lag_7d,COGS,-0.014289770982703941,-0.04832108887067769,0.014289770982703941,0.04832108887067769
avg_session_duration_sec_mean_lag_7d,COGS,-0.004034786194504793,-0.010636583498873935,0.004034786194504793,0.010636583498873935
Revenue_lag_1d,Revenue,0.8654556664373059,0.862187247645287,0.8654556664373059,0.862187247645287
daily_gross_item_revenue_lag_1d,Revenue,0.8654556664373059,0.862187247645287,0.8654556664373059,0.862187247645287
COGS_lag_1d,Revenue,0.8364456864654939,0.8301107102130517,0.8364456864654939,0.8301107102130517
daily_estimated_cogs_lag_1d,Revenue,0.8364456864599492,0.8301107102130517,0.8364456864599492,0.8301107102130517
daily_customer_count_lag_1d,Revenue,0.819307537553838,0.8138800257622935,0.819307537553838,0.8138800257622935
daily_order_count_lag_1d,Revenue,0.8182118553055427,0.8129740543905337,0.8182118553055427,0.8129740543905337
order_status_delivered_count_lag_1d,Revenue,0.8160313462483482,0.8088745102037916,0.8160313462483482,0.8088745102037916
daily_distinct_products_lag_1d,Revenue,0.8063922961359906,0.8136651468581143,0.8063922961359906,0.8136651468581143
