month,reviews,avg_rating
2012-07-01,220,4.013636363636364
2012-08-01,1085,3.9557603686635945
2012-09-01,1069,3.942937324602432
2012-10-01,890,3.9280898876404495
2012-11-01,760,3.9671052631578947
2012-12-01,855,3.92280701754386
2013-01-01,1250,3.9368
2013-02-01,697,3.9167862266857965
2013-03-01,866,3.92378752886836
2013-04-01,1363,3.9413059427732944
2013-05-01,1542,3.945525291828794
2013-06-01,1475,3.930847457627119
2013-07-01,1416,3.9046610169491527
2013-08-01,1412,3.9759206798866855
2013-09-01,1241,3.9000805801772764
2013-10-01,985,3.9309644670050763
2013-11-01,831,3.9193742478941034
2013-12-01,864,3.9814814814814814
2014-01-01,1256,3.8471337579617835
2014-02-01,706,3.9320113314447593
2014-03-01,974,3.940451745379877
2014-04-01,1525,3.954754098360656
2014-05-01,1716,3.9195804195804196
2014-06-01,1645,3.9100303951367783
2014-07-01,1434,3.8953974895397487
2014-08-01,1345,3.9434944237918215
2014-09-01,1183,3.912087912087912
2014-10-01,931,3.9892588614393127
2014-11-01,821,3.9269183922046285
2014-12-01,959,3.927007299270073
2015-01-01,1217,3.9572719802793754
2015-02-01,667,4.001499250374812
2015-03-01,933,3.8242229367631295
2015-04-01,1522,3.968462549277267
2015-05-01,1773,3.908065425831923
2015-06-01,1532,4.007180156657963
2015-07-01,1498,3.902536715620828
2015-08-01,1254,3.93859649122807
2015-09-01,1296,3.9760802469135803
2015-10-01,1178,3.9006791171477078
2015-11-01,970,3.9577319587628867
2015-12-01,994,3.9285714285714284
2016-01-01,1205,3.9427385892116185
2016-02-01,792,3.9305555555555554
2016-03-01,917,3.8942202835332607
2016-04-01,1429,3.9629111266620014
2016-05-01,1795,3.942618384401114
2016-06-01,1721,3.977338756536897
2016-07-01,1620,3.8709876543209876
2016-08-01,1312,3.910060975609756
2016-09-01,1258,3.9236883942766294
2016-10-01,916,3.9399563318777293
2016-11-01,819,3.8937728937728937
2016-12-01,869,3.949367088607595
2017-01-01,1133,3.9867608120035305
2017-02-01,574,3.9878048780487805
2017-03-01,830,3.9301204819277107
2017-04-01,1455,3.91340206185567
2017-05-01,1640,3.993292682926829
2017-06-01,1736,3.9786866359447006
2017-07-01,1683,3.924539512774807
2017-08-01,1211,3.9611890999174237
2017-09-01,1031,3.910766246362755
2017-10-01,887,3.9255918827508456
2017-11-01,757,3.845442536327609
2017-12-01,742,3.870619946091644
2018-01-01,912,3.892543859649123
2018-02-01,527,3.8747628083491463
2018-03-01,836,3.977272727272727
2018-04-01,1205,3.9319502074688795
2018-05-01,1519,3.9071757735352204
2018-06-01,1744,3.915137614678899
2018-07-01,1638,3.9822954822954824
2018-08-01,1201,3.9691923397169027
2018-09-01,977,3.9119754350051177
2018-10-01,654,3.9097859327217126
2018-11-01,534,3.865168539325843
2018-12-01,492,3.9878048780487805
2019-01-01,544,3.8621323529411766
2019-02-01,390,3.9692307692307693
2019-03-01,512,3.90625
2019-04-01,805,3.901863354037267
2019-05-01,767,3.9335071707953064
2019-06-01,814,3.960687960687961
2019-07-01,760,3.9223684210526315
2019-08-01,648,3.939814814814815
2019-09-01,658,3.980243161094225
2019-10-01,524,3.8759541984732824
2019-11-01,392,3.9846938775510203
2019-12-01,377,3.8779840848806364
2020-01-01,443,3.9209932279909707
2020-02-01,279,4.060931899641577
2020-03-01,385,4.0181818181818185
2020-04-01,744,3.9663978494623655
2020-05-01,756,3.958994708994709
2020-06-01,711,3.9774964838255977
2020-07-01,670,4.019402985074627
2020-08-01,569,4.014059753954306
2020-09-01,562,3.9234875444839856
2020-10-01,370,4.018918918918919
2020-11-01,320,3.90625
2020-12-01,297,3.9865319865319866
2021-01-01,376,3.859042553191489
2021-02-01,228,3.9473684210526314
2021-03-01,392,3.9668367346938775
2021-04-01,736,3.904891304347826
2021-05-01,715,3.858741258741259
2021-06-01,660,3.9363636363636365
2021-07-01,608,3.9621710526315788
2021-08-01,531,3.994350282485876
2021-09-01,514,3.924124513618677
2021-10-01,380,3.8684210526315788
2021-11-01,298,3.9630872483221475
2021-12-01,297,3.8181818181818183
2022-01-01,374,4.0828877005347595
2022-02-01,245,4.09795918367347
2022-03-01,437,3.935926773455378
2022-04-01,759,3.889328063241107
2022-05-01,690,3.9405797101449274
2022-06-01,657,3.963470319634703
2022-07-01,578,3.9982698961937717
2022-08-01,482,3.9481327800829877
2022-09-01,511,3.908023483365949
2022-10-01,422,3.8886255924170614
2022-11-01,329,3.8996960486322187
2022-12-01,314,3.9968152866242037
