month,sessions,unique_visitors,page_views,bounce_rate,avg_session_duration_sec,days_observed,sessions_mom_pct
2013-01-01,295006,224927,1249046,0.004530322580645162,222.60000000000002,31,
2013-02-01,416896,316689,1812512,0.004506428571428571,205.81785714285712,28,41.31780370568734
2013-03-01,622174,477302,2735450,0.0045032258064516125,205.8516129032258,31,49.239618513969916
2013-04-01,814380,615275,3495043,0.004672333333333333,206.72,30,30.892644179923945
2013-05-01,816540,621639,3554250,0.00447516129032258,208.80645161290323,31,0.26523244676932567
2013-06-01,802614,609958,3595391,0.004587666666666667,201.78,30,-1.7054890146226742
2013-07-01,655041,492361,2763177,0.004610322580645161,197.56129032258065,31,-18.38654695781534
2013-08-01,709622,537601,2984208,0.004488064516129033,206.8709677419355,31,8.332455525684646
2013-09-01,506857,386480,2177198,0.004676,204.64333333333335,30,-28.573663161514162
2013-10-01,414758,314764,1818852,0.004388709677419355,212.31612903225806,31,-18.170608278074486
2013-11-01,341927,261046,1481990,0.0044986666666666664,202.51000000000002,30,-17.559878290472998
2013-12-01,406125,308459,1736541,0.00460516129032258,207.32258064516128,31,18.7753526337493
2014-01-01,331441,253605,1440361,0.004430322580645161,194.09354838709677,31,-18.389412126808246
2014-02-01,436948,330343,1958435,0.004545,213.06428571428572,28,31.832814890131278
2014-03-01,678117,513181,2913442,0.00452741935483871,231.91935483870967,31,55.19398189258218
2014-04-01,897161,681274,4016382,0.004229666666666667,202.06,30,32.30180042677002
2014-05-01,865571,663335,3659092,0.004669032258064516,207.00322580645164,31,-3.5211071368461133
2014-06-01,872954,664581,3710082,0.004621333333333334,215.4633333333333,30,0.8529629574003827
2014-07-01,698487,533065,3059009,0.004394516129032257,203.31290322580645,31,-19.98581826762922
2014-08-01,776699,597398,3483345,0.0043590322580645165,214.96451612903223,31,11.19734511880679
2014-09-01,538157,409634,2366517,0.004593,209.49333333333334,30,-30.712283651710635
2014-10-01,452678,347130,1979758,0.004347096774193548,220.90322580645162,31,-15.883654769890576
2014-11-01,368481,281158,1554138,0.004264666666666667,215.99666666666664,30,-18.599755234405023
2014-12-01,424266,321544,1806646,0.004422903225806452,222.3516129032258,31,15.139179496364807
2015-01-01,358986,274323,1517906,0.004499354838709677,218.11290322580646,31,-15.386573517557379
2015-02-01,468995,357577,1979466,0.0044767857142857135,217.08571428571426,28,30.644370532555598
2015-03-01,712256,546184,3215156,0.00436258064516129,221.74516129032259,31,51.86857002739902
2015-04-01,968390,734144,4230820,0.004396333333333334,211.55666666666667,30,35.96094662593225
2015-05-01,889762,674498,3859990,0.004305806451612903,225.7258064516129,31,-8.119456004295788
2015-06-01,926787,702605,4141107,0.004595333333333334,212.88666666666668,30,4.16122513660957
2015-07-01,777706,587251,3315281,0.0044364516129032265,224.43548387096774,31,-16.08578885979195
2015-08-01,829528,615444,3511337,0.004345483870967742,225.21290322580646,31,6.6634435120726865
2015-09-01,580111,440132,2471819,0.004409666666666667,210.06666666666666,30,-30.06733949908864
