year,Revenue,COGS,Gross_Profit,Margin,days_observed,Revenue_yoy_pct,Gross_Profit_yoy_pct
2012,741497748.02,587461923.81,154035824.21,0.20709788261303902,181,,
2013,1657169417.27,1465980103.2,191189314.07,0.10375992710324676,365,123.489474067196,24.120031850089575
2014,1871845882.8,1574607456.89,297238425.91,0.15372379727030733,365,12.954406670360562,55.46811669671683
2015,1889933826.92,1665441817.42,224492009.5,0.10102052661404616,365,0.9663158856296095,-24.47409556395198
2016,2104640677.54,1780559392.69,324081284.85,0.14568636442150965,366,11.360548584386398,44.36205795110941
2017,1911164325.28,1694385793.54,216778531.73999998,0.09668204261544926,365,-9.192844855880288,-33.109827110092084
2018,1850122456.08,1542175766.14,307946689.94,0.15721349074357543,365,-3.1939623606702106,42.05589800255007
2019,1136801441.51,1005202883.72,131598557.79,0.10243823833324751,365,-38.55534060601422,-57.26579889017786
2020,1054512158.79,886085097.63,168427061.16,0.15270502639665404,366,-7.238668048370533,27.985491625804528
2021,1043039819.63,941130120.16,101909699.47,0.07915712576684074,365,-1.0879285804692773,-39.49327455569076
2022,1169748831.69,1020420163.97,149328667.72,0.12089703513726986,365,12.148051270463277,46.530377870419606
